MDC (01-25),ΚΩΔΙΚΟΣ ΚΕΝ (όλοι οι ΑλφΑβητικί ΧΑρΑκτήρες θΑ πρέπει νΑ είνΑι στΑ ΕΛΛΗΝΙΚΑ),ΚΩΔΙΚΟΣ ICD-10 (όλοι οι αλβαβητικοί χαρακτήρες θα πρέπει να είναι στα Αγγλικά)
1.0,Ν11Α,G40
1.0,Ν11Α,G41
1.0,Ν12Μ,I60
1.0,Ν12Μ,I61
1.0,Ν12Μ,I62
1.0,Ν12Μ,I63
1.0,Ν12Μ,I64
1.0,Ν12Μ,I65
1.0,Ν12Μ,I66
1.0,Ν12Μ,I67
1.0,Ν12Μ,I68
1.0,Ν12Μ,I69
1.0,Ν12Μ,G00
1.0,Ν12Μ,G01
1.0,Ν12Μ,G02
1.0,Ν12Μ,G03
1.0,Ν12Μ,G04
1.0,Ν12Μ,G05
1.0,Ν12Μ,G06
1.0,Ν12Μ,G07
1.0,Ν12Μ,G08
1.0,Ν12Μ,G09
1.0,Ν12Μ,G41
1.0,Ν12Μ,G61.0
1.0,Ν12Μ,G61.9
1.0,Ν12Μ,G70
1.0,Ν12Μ,G71
1.0,Ν12Μ,G91
1.0,Ν12Μ,G92
1.0,Ν12Μ,G93.1
1.0,Ν12Μ,G93.6
1.0,Ν12Μ,G93.7
1.0,Ν12Μ,G93.9
1.0,Ν12Μ,G95.0
1.0,Ν12Μ,G95.1
1.0,Ν12Μ,G95.2
1.0,Ν12Μ,G95.9
1.0,Ν12Χ,G00
1.0,Ν12Χ,G01
1.0,Ν12Χ,G02
1.0,Ν12Χ,G03
1.0,Ν12Χ,G04
1.0,Ν12Χ,G05
1.0,Ν12Χ,G06
1.0,Ν12Χ,G07
1.0,Ν12Χ,G08
1.0,Ν12Χ,G09
1.0,Ν12Χ,G41
1.0,Ν12Χ,G61.0
1.0,Ν12Χ,G61.9
1.0,Ν12Χ,G91
1.0,Ν12Χ,G92
1.0,Ν12Χ,G93.7
1.0,Ν12Χ,G93.9
1.0,Ν20Μ,G04
1.0,Ν20Μ,G05
1.0,Ν20Μ,G06
1.0,Ν20Μ,G07
1.0,Ν20Μ,G08
1.0,Ν20Μ,G09
1.0,Ν20Μ,G35
1.0,Ν20Μ,G36
1.0,Ν20Μ,G37
1.0,Ν20Μ,G46.3
1.0,Ν20Μ,G61.0
1.0,Ν20Μ,G61.9
1.0,Ν20Μ,G63.0
1.0,Ν20Μ,G63.1
1.0,Ν20Μ,G63.5
1.0,Ν20Μ,G73.1
1.0,Ν20Μ,G73.2
1.0,Ν20Μ,G95.0
1.0,Ν20Μ,G95.1
1.0,Ν20Μ,G95.2
1.0,Ν20Μ,G95.9
1.0,Ν20Χ,G04
1.0,Ν20Χ,G05
1.0,Ν20Χ,G06
1.0,Ν20Χ,G07
1.0,Ν20Χ,G08
1.0,Ν20Χ,G09
1.0,Ν20Χ,G35
1.0,Ν20Χ,G36
1.0,Ν20Χ,G37
1.0,Ν20Χ,G46.3
1.0,Ν20Χ,G61.0
1.0,Ν20Χ,G61.9
1.0,Ν20Χ,G63.0
1.0,Ν20Χ,G63.1
1.0,Ν20Χ,G63.5
1.0,Ν20Χ,G70
1.0,Ν20Χ,G70.1
1.0,Ν20Χ,G72.3
1.0,Ν21Μ,G04
1.0,Ν21Μ,G05
1.0,Ν21Μ,G06
1.0,Ν21Μ,G07
1.0,Ν21Μ,G08
1.0,Ν21Μ,G09
1.0,Ν21Μ,G95
1.0,Μ21Χ,G04
1.0,Μ21Χ,G05
1.0,Μ21Χ,G06
1.0,Μ21Χ,G07
1.0,Μ21Χ,G08
1.0,Μ21Χ,G09
1.0,Μ21Χ,G95
1.0,Ν23Α,G30
