+----------------------------------------------------------+------+---------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------+-----------------+-----------------+----------------+------------+---------------+-----------------+-------------+
| department                                               | year | ken_code      | ken_description                                                                                                                                                                                                                                                                                                                                                                                                     | total_hospitalizations | total_base_cost | total_surcharge | total_revenue  | count_efka | count_private | count_uninsured | count_other |
+----------------------------------------------------------+------+---------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------+-----------------+-----------------+----------------+------------+---------------+-----------------+-------------+
| Γαστρεντερολογική Κλινική                                | 2024 | Γ08Α          |  Ενδοσκοπικές και λαπαροσκοπικές Επεμβάσεις στο γυναικείο αναπαραγωγικό σύστημα                                                                                                                                                                                                                                                                                                                                     |                      1 |          719.00 |   -711.00000000 |  5752.00000000 |          0 |             0 |               1 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Π07Χ          |  Σκωληκοειδεκτομή χωρίς κακοήθεια ή περιτονίτιδα ή χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                |                      1 |          983.00 |   -975.00000000 |  3932.00000000 |          0 |             0 |               1 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Υ06Χ          |  Μικρές επεμβάσεις Ουροδοχου κυστεως χωρίς  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές                                                                                                                                                                                                                                                                                                              |                      1 |          808.00 |   -803.00000000 |  2020.00000000 |          0 |             1 |               0 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Ω13Α          |  Τυμπανοτωμή ( Μυριγγεκτομή )  με εισαγωγή σωλήνα                                                                                                                                                                                                                                                                                                                                                                   |                      1 |          347.00 |   -344.00000000 |  1041.00000000 |          1 |             0 |               0 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Τ27Μγ         |  Νεογνά με βάρος εισαγωγής >2499  gr χωρίς σημαντική χειρουργική επέμβαση λοιπά προβλήματα                                                                                                                                                                                                                                                                                                                          |                      1 |          918.00 |      0.00000000 |   918.00000000 |          1 |             0 |               0 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Ρ24Χ          |  Λοιπές λοιμώξεις και παρασιτικά νοσήματα χωρίς συνυπάρχουσες παθήσεις – επιπλοκές                                                                                                                                                                                                                                                                                                                                  |                      1 |          623.00 |      0.00000000 |   623.00000000 |          1 |             0 |               0 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Κ22Α          |  Αορτικά Βαλβιδοφόρα Μοσχεύματα                                                                                                                                                                                                                                                                                                                                                                                     |                      1 |            7.75 |      0.00000000 |     7.75000000 |          0 |             1 |               0 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Κ07Μβ         |  Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία με σοβαρές ή μετρίας βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές                                                                                                                                                                                                                                                          |                      1 |            7.28 |      0.00000000 |     7.28000000 |          0 |             1 |               0 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Ν20Μ          |  Οξεία εμφάνιση παραπληγίας/τετραπληγίας με ή χωρίς χειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                     |                      1 |            6.92 |      0.00000000 |     6.92000000 |          0 |             1 |               0 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Υ03Μβ         |  Επεμβάσεις νεφρού ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για νεοπλασία με σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές                                                                                                                                                                                                                                                                                     |                      1 |            4.43 |      0.00000000 |     4.43000000 |          0 |             1 |               0 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Π12Μα         |  Λοιπές Επεμβάσεις πεπτικού συστήματος  με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                        |                      1 |            4.18 |      0.00000000 |     4.18000000 |          0 |             1 |               0 |           0 |
