+----------------------------------------------------+------------+------------+------------+--------------+-------------+
| department                                         | shift_date | shift_type | staff_type | sub_category | staff_count |
+----------------------------------------------------+------------+------------+------------+--------------+-------------+
| Γαστρεντερολογική Κλινική                          | 2025-01-13 | Afternoon  | admin      | Accountant   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-13 | Afternoon  | admin      | Receptionist |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-13 | Afternoon  | admin      | Secretary    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-13 | Afternoon  | nurse      | Nurse        |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-13 | Morning    | admin      | Secretary    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-13 | Night      | admin      | IT Support   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-13 | Night      | admin      | Logistics    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-13 | Night      | admin      | Receptionist |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-13 | Night      | nurse      | Assistant    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-13 | Night      | nurse      | Nurse        |           6 |
| Γυναικολογική Κλινική                              | 2025-01-13 | Night      | admin      | Accountant   |           1 |
| Γυναικολογική Κλινική                              | 2025-01-13 | Night      | admin      | IT Support   |           1 |
| Γυναικολογική Κλινική                              | 2025-01-13 | Night      | admin      | Secretary    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Afternoon  | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Afternoon  | admin      | Logistics    |           2 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Afternoon  | doctor     | Gynecology   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Afternoon  | doctor     | Nephrology   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Afternoon  | doctor     | Surgery      |           1 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Afternoon  | nurse      | Assistant    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Afternoon  | nurse      | Head_Nurse   |           2 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Afternoon  | nurse      | Nurse        |           4 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Morning    | admin      | Logistics    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Morning    | admin      | Receptionist |           1 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Morning    | doctor     | Neurology    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Morning    | doctor     | Psychiatry   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Morning    | nurse      | Assistant    |           2 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Morning    | nurse      | Nurse        |           4 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Night      | admin      | Accountant   |           2 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Night      | admin      | Logistics    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Night      | nurse      | Assistant    |           4 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Night      | nurse      | Head_Nurse   |           2 |
| Καρδιολογική Κλινική                               | 2025-01-13 | Night      | nurse      | Nurse        |           3 |
