+---------------+---------------+-------------+------------------+----------------+--------------+----------------------------------------------------------+----------------+
| urgency_level | urgency_label | total_cases | avg_wait_minutes | admitted_count | pct_admitted | department                                               | referral_count |
+---------------+---------------+-------------+------------------+----------------+--------------+----------------------------------------------------------+----------------+
|             1 | Immediate     |          30 |             21.0 |             14 |        46.67 | Νευρολογική Κλινική                                      |              3 |
|             1 | Immediate     |          30 |             21.0 |             14 |        46.67 | Παθολογική Κλινική                                       |              2 |
|             1 | Immediate     |          30 |             21.0 |             14 |        46.67 | Γαστρεντερολογική Κλινική                                |              2 |
|             1 | Immediate     |          30 |             21.0 |             14 |        46.67 | Χειρουργική Κλινική                                      |              1 |
|             1 | Immediate     |          30 |             21.0 |             14 |        46.67 | Ορθοπεδική Κλινική                                       |              1 |
|             1 | Immediate     |          30 |             21.0 |             14 |        46.67 | Πνευμονολογική Κλινική                                   |              1 |
|             1 | Immediate     |          30 |             21.0 |             14 |        46.67 | Γυναικολογική Κλινική                                    |              1 |
|             1 | Immediate     |          30 |             21.0 |             14 |        46.67 | Ψυχιατρική Κλινική                                       |              1 |
|             1 | Immediate     |          30 |             21.0 |             14 |        46.67 | Μονάδα Εντατικής Θεραπείας                               |              1 |
|             1 | Immediate     |          30 |             21.0 |             14 |        46.67 | Τμήμα Επειγόντων Περιστατικών                            |              1 |
|             2 | Emergent      |          60 |             30.8 |             19 |        31.67 | Καρδιολογική Κλινική                                     |              4 |
|             2 | Emergent      |          60 |             30.8 |             19 |        31.67 | Ορθοπεδική Κλινική                                       |              2 |
|             2 | Emergent      |          60 |             30.8 |             19 |        31.67 | Πνευμονολογική Κλινική                                   |              2 |
|             2 | Emergent      |          60 |             30.8 |             19 |        31.67 | Ουρολογική Κλινική                                       |              2 |
|             2 | Emergent      |          60 |             30.8 |             19 |        31.67 | Γυναικολογική Κλινική                                    |              2 |
|             2 | Emergent      |          60 |             30.8 |             19 |        31.67 | Παθολογική Κλινική                                       |              1 |
|             2 | Emergent      |          60 |             30.8 |             19 |        31.67 | Ογκολογική Κλινική                                       |              1 |
|             2 | Emergent      |          60 |             30.8 |             19 |        31.67 | Νεφρολογική Κλινική                                      |              1 |
|             2 | Emergent      |          60 |             30.8 |             19 |        31.67 | Παιδιατρική Κλινική                                      |              1 |
|             2 | Emergent      |          60 |             30.8 |             19 |        31.67 | Ψυχιατρική Κλινική                                       |              1 |
|             2 | Emergent      |          60 |             30.8 |             19 |        31.67 | Μονάδα Εντατικής Θεραπείας                               |              1 |
|             2 | Emergent      |          60 |             30.8 |             19 |        31.67 | Τμήμα Επειγόντων Περιστατικών                            |              1 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Μονάδα Εντατικής Θεραπείας                               |              6 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Νευρολογική Κλινική                                      |              6 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Γαστρεντερολογική Κλινική                                |              6 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Καρδιολογική Κλινική                                     |              5 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Τμήμα Επειγόντων Περιστατικών                            |              4 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Παθολογική Κλινική                                       |              4 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Νεφρολογική Κλινική                                      |              4 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Γυναικολογική Κλινική                                    |              4 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Παιδιατρική Κλινική                                      |              4 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Χειρουργική Κλινική                                      |              3 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Ορθοπεδική Κλινική                                       |              3 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Ογκολογική Κλινική                                       |              3 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Πνευμονολογική Κλινική                                   |              3 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Ουρολογική Κλινική                                       |              3 |
|             3 | Urgent        |         150 |             45.0 |             61 |        40.67 | Ψυχιατρική Κλινική                                       |              3 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Μονάδα Εντατικής Θεραπείας                               |             10 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Παιδιατρική Κλινική                                      |              9 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Νευρολογική Κλινική                                      |              7 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Γυναικολογική Κλινική                                    |              7 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Παθολογική Κλινική                                       |              6 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Ορθοπεδική Κλινική                                       |              6 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Ουρολογική Κλινική                                       |              6 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Ογκολογική Κλινική                                       |              5 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Πνευμονολογική Κλινική                                   |              5 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Τμήμα Επειγόντων Περιστατικών                            |              5 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Χειρουργική Κλινική                                      |              4 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Γαστρεντερολογική Κλινική                                |              4 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Ψυχιατρική Κλινική                                       |              4 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Νεφρολογική Κλινική                                      |              3 |
|             4 | Less Urgent   |         200 |             75.0 |             83 |        41.50 | Καρδιολογική Κλινική                                     |              2 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Ουρολογική Κλινική                                       |              8 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Χειρουργική Κλινική                                      |              7 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Ορθοπεδική Κλινική                                       |              7 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Παιδιατρική Κλινική                                      |              5 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Ογκολογική Κλινική                                       |              5 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Γυναικολογική Κλινική                                    |              4 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Καρδιολογική Κλινική                                     |              4 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Νευρολογική Κλινική                                      |              4 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Γαστρεντερολογική Κλινική                                |              4 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Ψυχιατρική Κλινική                                       |              3 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Τμήμα Επειγόντων Περιστατικών                            |              3 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Παθολογική Κλινική                                       |              3 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Πνευμονολογική Κλινική                                   |              3 |
|             5 | Non-Urgent    |         160 |            134.9 |             63 |        39.38 | Νεφρολογική Κλινική                                      |              3 |
+---------------+---------------+-------------+------------------+----------------+--------------+----------------------------------------------------------+----------------+
66 rows in set (0.005 sec)
